nama_vga,harga_vga
Galaxy GeForce GTX 660,454.0
Galaxy GeForce GTX 660 Ti,613.0
Galaxy GeForce GTX 660 Ti,642.0
Galaxy GeForce GTX 680,1153.0
Galaxy GeForce GTX 680,1065.0
Galaxy GeForce GTX 680,738.0
Galaxy GeForce GTX 680,1122.0
Galaxy GeForce GTX 680,1210.0
Gigabyte GeForce GTX 1080 Ti,981.0
Gigabyte Radeon RX 580,329.0
Gigabyte Radeon RX 5700 XT,948.0
Gigabyte GeForce RTX 3080,1799.0
Gigabyte GeForce GTX 1080,849.0
Gigabyte GeForce GTX 1080 Ti,1049.0
Gigabyte Radeon RX 580,319.0
Gigabyte Radeon RX 570,203.0
Gigabyte Radeon RX 580,349.0
Gigabyte Radeon RX 570,299.0
Gigabyte GeForce GTX 1060 3GB,419.0
Gigabyte Radeon RX 590,461.0
Gigabyte Radeon RX 580,199.0
Gigabyte Radeon RX 5700 XT,649.0
Gigabyte GeForce RTX 3070,1089.0
Gigabyte GeForce RTX 2080,1750.0
Gigabyte GeForce GTX 1660,312.0
Gigabyte GeForce RTX 2080 SUPER,1799.0
Gigabyte GeForce RTX 2080 SUPER,1520.0
Gigabyte Radeon RX 5500 XT,419.0
Gigabyte GeForce GTX 1660 SUPER,304.0
Gigabyte Radeon RX 5600 XT,654.0
Gigabyte GeForce RTX 2070 SUPER,705.0
Gigabyte GeForce GT 1030,84.0
Gigabyte GeForce GT 1030,88.0
Gigabyte GeForce GT 1030,107.0
Gigabyte GeForce GTX 1050 Ti,157.0
Gigabyte GeForce GTX 1050 Ti,234.0
Gigabyte GeForce GTX 1070 Ti,888.0
Gigabyte GeForce GTX 1080 Ti,1029.0
Gigabyte GeForce GT 610,116.0
Gigabyte GeForce GTX 660,486.0
Gigabyte GeForce GTX 670,839.0
Gigabyte GeForce GTX 680,1050.0
Gigabyte Radeon HD 5450,98.0
Gigabyte Radeon HD 5450,99.0
Gigabyte Radeon HD 5450,104.0
Gigabyte Radeon HD 5830,266.0
Gigabyte Radeon HD 6450,114.0
Gigabyte Radeon RX 560 - 896,169.0
Gigabyte GeForce GTX 1660 SUPER,549.0
Gigabyte GeForce GTX 1660 Ti,299.0
Gigabyte GeForce GTX 1650 SUPER,202.0
Gigabyte Radeon RX 5500 XT,299.0
Gigabyte Radeon RX 5500 XT,524.0
Gigabyte GeForce GTX 1650,203.0
Gigabyte GeForce GTX 1050 Ti,159.0
Gigabyte GeForce RTX 2060,649.0
Gigabyte Radeon RX VEGA 56,1099.0
Gigabyte GeForce GTX 1080 Ti,918.0
Gigabyte GeForce GTX 1080,689.0
Gigabyte GeForce GTX 760,795.0
Gigabyte GeForce GTX 1070 Ti,769.0
Gigabyte GeForce RTX 2060,599.0
Gigabyte GeForce GTX 760,795.0
Gigabyte GeForce RTX 2080,1319.0
Gigabyte GeForce RTX 2080 Ti,1879.0
Gigabyte GeForce RTX 2070,899.0
Gigabyte GeForce RTX 2070,459.0
Gigabyte GeForce RTX 2080 SUPER,1269.0
Gigabyte GeForce GTX 1650,449.0
Gigabyte GeForce GTX 1080,689.0
Gigabyte GeForce GTX 1060 3GB,269.0
Gigabyte Radeon RX 5600 XT,351.0
Gigabyte GeForce RTX 2060,699.0
